OBJECTID,EoICode,StationNam,Longitude,Latitude,Altitude,StationTyp,StationAre,avg15
23,CZ0BMIS,Mikulov-Sedlec,16.724497,48.791767,245,background,rural-regional,16.080899
24,CZ0JKOS,Kosetice,15.080278,49.573395,535,background,rural-regional,11.625252
25,CZ0TSTD,Studenka,18.089306,49.720936,231,background,rural-near_city,23.892614
26,CZ0TVER,Vernovice,18.422873,49.924679,203,background,rural-near_city,33.040112
27,DEBB053,Hasenholz,14.015252,52.563835,88,background,rural-regional,11.945001
28,DEBW031,Schwarzwald-Süd,7.764528,47.809892,904,background,rural-regional,6.111503
29,DEBW087,Schwäbische_Alb,9.207639,48.345778,798,background,rural-regional,7.883377
30,DEBY004,Kleinwallstadt/Hofstetter Straße,9.171544,49.869422,124,background,rural-near_city,12.735729
31,DEBY072,Tiefenbach/Altenschneeberg,12.548869,49.438464,755,background,rural-regional,8.871439
32,DEBY109,Andechs/Rothenfeld,11.220172,47.968753,700,background,rural-regional,8.743363
33,DEBY124,Burgbernheim/Grüne Au,10.325,49.44406,362,background,rural-regional,11.139296
34,DEHE046,Bad Arolsen,8.928171,51.430897,343,background,rural,11.416152
35,DEMV004,Gülzow,12.064708,53.817775,17,background,rural,12.241828
36,DENI031,Jadebusen,8.09059,53.59617,2,background,rural,9.372394
37,DENI060,Wendland,11.16705,52.95702,16,background,rural,10.485007
38,DENW068,Soest-Ost,8.148061,51.570662,110,background,rural-near_city,12.44337
39,DERP017,Pfälzerwald-Hortenkopf,7.826521,49.270263,606,background,rural,7.542832
40,DERP028,Westerwald-Neuhäusel,7.7299,50.4243,546,background,rural,8.508962
41,DESH008,Bornhöved,10.240596,54.09323,45,background,rural-regional,9.868317
42,DESN076,Collmberg,13.009406,51.303772,313,background,rural-remote,10.191917
43,DEST098,Unterharz / Friedrichsbrunn,11.043386,51.662435,419,background,rural-regional,8.684215
44,DEST104,Domäne Bobbe,11.891412,51.837306,72,background,rural,13.072419
45,DEUB004,Schauinsland,7.908035,47.913256,1205,background,rural-regional,6.690393
46,DEUB005,Waldhof,10.756733,52.800773,74,background,rural,10.463367
47,DEUB029,Schmücke,10.769534,50.654066,937,background,rural,7.286816
48,DEUB030,Neuglobsow,13.031662,53.141303,65,background,rural-regional,9.969703
49,DK0012R,Risoe,12.088898,55.694206,3,background,rural-regional,9.520642
50,EE0009R,Lahemaa,25.930569,59.494446,32,background,rural,5.188643
51,EE0011R,Vilsandi,21.845013,58.37611,6,background,rural,3.966952
52,EE0016A,Saarejärve,26.758898,58.702778,50,background,rural,5.433148
53,ES0001R,SAN PABLO DE LOS MONTES,-4.35056,39.54694,917,background,rural,6.61236
54,ES0006R,MAHÓN,4.31639,39.87528,78,background,rural,7.035144
55,ES0007R,VÍZNAR,-3.53417,37.23722,1230,background,rural,10.344214
56,ES0008R,NIEMBRO,-4.85,43.43917,134,background,rural,7.051429
57,ES0009R,CAMPISÁBALOS,-3.1425,41.27417,1360,background,rural,4.81686
58,ES0010R,CABO DE CREUS,3.31583,42.31917,23,background,rural,8.486239
59,ES0011R,BARCARROTA,-6.92361,38.47278,393,background,rural,8.456647
60,ES0012R,ZARRA,-1.10111,39.08278,885,background,rural,5.960674
61,ES0013R,PEŃAUSENDE,-5.8975,41.23889,985,background,rural,5.795732
62,ES0014R,ELS TORMS,0.73472,41.39389,470,background,rural,8.335227
63,ES0016R,O SAVIŃAO,-7.70472,42.63472,506,background,rural,8.379538
64,ES1489A,VALDEREJO,-3.231389,42.875278,911,background,rural,6.162902
65,ES1543A,ZORITA,-0.169444,40.735,619,background,rural,7.114348
66,ES1670A,CAUDETE DE LAS FUENTES,-1.281389,39.558611,804,background,rural,11.081898
67,ES1671A,VILLAR DEL ARZOBISPO,-0.831944,39.708056,430,background,rural,10.759357
68,ES1802A,EL ATAZAR,-3.46667,40.91028,995,background,rural,5.867473
69,ES1810A,VILLA DEL PRADO,-4.27472,40.25194,469,background,rural,11.740706
70,ES1827A,HOSPITAL JOAN MARCH,2.68665,39.67766,172,background,rural,6.991095
71,ES2018A,ALGAR DE PALŔNCIA,-0.359167,39.782222,200,background,rural,9.177124
72,FI00208,Luukki,24.68486,60.31439,64,background,rural,5.008677
73,FI00349,Utö,21.37395,59.77923,7,background,rural,4.971934
74,FI00893,Virolahti 2,27.6754,60.53002,4,background,rural,5.294007
75,FR04048,Zone Rurale Nord,2.343893,49.100257,140,background,rural-regional,12.660772
76,FR04066,Zone rurale Sud,2.23694,48.36414,134,background,rural-regional,9.648008
77,FR04328,Zone Rurale SE,2.645296,48.354709,127,background,rural-regional,9.169847
78,FR07022,Paray le Fresil,3.600663,46.652645,235,background,rural-regional,8.447957
79,FR10132,Campagne les B.,1.991448,50.610484,170,background,rural-regional,10.634634
80,FR14203,Pourcy,3.912612,49.158627,153,background,rural-near_city,11.019525
81,FR19008,Serv Tech Guipry,-1.836327,47.831934,29,background,rural-remote,8.913834
82,FR21050,La Coulonche MERA,-0.458333,48.645008,309,background,rural-remote,8.07166
83,FR23124,LA TARDIERE,-0.743681,46.656714,143,background,rural-remote,10.524742
84,FR23177,SAINT-DENIS D'ANJOU,-0.444044,47.787712,50,background,rural-regional,10.292241
85,FR24039,Obs Haute-Provence,5.711704,43.93352,670,background,rural-regional,7.504084
86,FR26012,Station MORVAN,4.09833,47.275017,620,background,rural-remote,9.567993
87,FR30033,Jonville en Woevre,5.785555,49.065837,225,background,rural-regional,12.595133
88,FR33302,St Germain/Rhône,5.820832,46.072219,477,background,rural-regional,8.89671
89,FR34038,Verneuil,2.610082,46.814819,180,background,rural-regional,11.602657
90,FR36021,Drôme Rurale Sud-SND,5.278968,44.569431,617,background,rural,6.146076
91,FR41024,Venaco,9.190035,42.236087,655,background,rural-regional,7.685495
92,GB0036R,Harwell,-1.325283,51.571078,126,background,rural,7.725895
93,GB0048R,Auchencorth Moss,-3.2429,55.79216,260,background,rural,3.176025
94,GB0617A,Rochester Stoke,0.634889,51.45617,14,background,rural,8.73313
95,HR0012A,"DESINIC - RH0112 - HR0012A; Državna mreža za trajno pracenje kvalitete zraka",15.660639,46.169056,0,background,rural-near_city,14.282799
96,HR0013A,"PLITVICKA JEZERA - RH0113 - HR0013A; Državna mreža za trajno pracenje kvalitete zraka",15.609778,44.899333,0,background,rural-regional,9.171703
97,IE0145A,Mayo Claremorris,-9.012672,53.703889,45,background,rural-remote,5.735632
98,IT0952A,CASTEL DI GUIDO,12.266389,41.889444,61,background,rural,14.676796
99,IT0989A,LEONESSA,12.961944,42.5725,948,background,rural,9.897507
100,IT0992A,FONTECHIARI,13.674444,41.67,388,background,rural,14.543353
101,IT1179A,GHERARDI,11.961111,44.839722,-2,background,rural,20.559557
102,IT1451A,SAN PIETRO CAPOFIUME,11.639444,44.662222,11,background,rural,18.643258
103,IT1464A,CASIRATE D'ADDA,9.556389,45.4975,115,background,rural,26.64348
104,IT1553A,PT-MONTALE,11.00694,43.91611,48,background,rural,23.441667
105,IT1596A,MANSUE',12.510278,45.836944,14,background,rural,25.488571
106,IT1665A,LECCE - S. M. Cerrate,18.11611,40.45889,10,background,rural,17.683505
107,IT1773A,Genga -Parco Gola della Rossa,12.95222,43.46806,550,background,rural-regional,11.594837
108,IT1796A,Civitanova IPPODROMO S. MARONE,13.67472,43.33556,110,background,rural,12.557535
109,IT1812A,MOGGIO,9.496944,45.913056,1192,background,rural,12.047041
110,IT1865A,SCHIVENOGLIA,11.07083,44.99694,16,background,rural,26.951496
111,IT1902A,BRUFA,12.46806,43.06694,209,background,rural,13.312321
112,IT1904A,Dernice - Costa,9.05243,44.76335,620,background,rural,11.011142
113,IT1911A,BADIA,10.288889,44.6575,202,background,rural,14.707042
114,IT1914A,SAN ROCCO,10.663889,44.873056,22,background,rural,23.017192
115,IT1915A,SAN CLEMENTE,12.6275,43.932778,165,background,rural,15.268362
116,IT1919A,OSTELLATO,11.942222,44.741667,0,background,rural,19.083333
117,IT1921A,GAVELLO,11.17795,44.92784,4,background,rural,20.044818
118,IT1924A,BESENZONE,10.019167,44.989444,48,background,rural,26.727528
119,IT1927A,BALLIRANA,11.981381,44.526485,1,background,rural,18.326284
120,IT1948A,Vinchio - San Michele,8.31031,44.80801,258,background,rural,20.749296
121,IT1996A,CENMA1,8.773056,40.256389,532,background,rural-near_city,7.149379
122,IT2023A,ACQUAPENDENTE,11.865,42.74472,420,background,rural,10.436975
123,IT2097A,CASTELLUCCIO,10.926111,44.15,811,background,rural,6.641834
124,IT2099A,M Martani,12.56611,42.80472,1038,background,rural,8.455446
125,IT2119A,Revello - Staffarda,7.42622,44.71976,268,background,rural,25.84375
126,IT2141A,Posta del Principe,15.38667,41.63083,150,background,rural,13.391694
127,IT2142A,Azienda Russo,15.44083,41.54666,150,background,rural,13.131818
128,LT00051,Aukstaitija,26.004169,55.463333,180,background,rural,7.775623
129,LU0105A,Beidweiler,6.30533,49.72226,319,background,rural-regional,11.022904
130,MT00007,Gharb Station,14.197154,36.067041,114,background,rural-regional,9.19006
131,NL00230,Biest Houtakker-Biestsestraat,5.148902,51.519444,15,background,rural,12.270036
132,NL00444,De Zilk-Vogelaarsdreef,4.510286,52.298054,4,background,rural,9.512012
133,NL00538,Wieringerwerf-Medemblikkerweg,5.050842,52.804722,-4,background,rural,8.977558
134,NL00561,Badhoevedorp-Sloterweg,4.773589,52.333561,1,background,rural,12.989084
135,NL00703,Amsterdam-Spaarnwoude,4.73,52.400002,1,background,rural,12.013362
136,NO0002R,Nye Birkenes,8.2519,58.38846,200,background,rural-regional,2.707727
137,NO0039R,Kĺrvatn,8.87658,62.78246,210,background,rural-regional,1.512005
138,NO0056R,Hurdal25,11.07407,60.37288,280,background,rural-regional,2.752935
139,PL0005R,KMS Puszcza Borecka,22.038056,54.124819,157,background,rural,12.482206
140,PL0243A,"Zloty Potok, Lesniczówka",19.458797,50.710889,291,background,rural,18.470833
141,PL0505A,Osieczów,15.431719,51.31763,179,background,rural,14.53796
142,PT02019,Ervedeira,-8.891667,39.923889,60,background,rural,7.347346
143,PT02020,Fundăo,-7.301944,40.233056,473,background,rural,5.618682
144,PT03096,Chamusca,-8.466111,39.3525,143,background,rural,10.51776
145,PT03099,Fernando Pó,-8.690556,38.635556,57,background,rural,11.822876
146,PT04006,Terena,-7.3975,38.615,187,background,rural,12.341719
147,PT05012,Cerro,-7.678611,37.3125,300,background,rural,6.654075
148,RO0072A,B8 Balotesti,26.116667,44.616665,30,background,rural,18.895706
149,RO0210A,GR-4,26.038739,43.963814,20,background,rural,13.13879
150,SI0008R,Iskrba,14.85806,45.56107,540,background,rural,10.032877
151,SK0004R,Stara Lesna - AU SAV EMEP/O3,20.291117,49.152779,808,background,rural,10.67064
152,X_AT0002R,Illmitz,16.766667,47.766667,117,background,rural,14.702786
153,X_DE0044R,Melpitz,12.93386,51.53014,86,background,rural,14.731795
154,X_FI0036R,Pallas (Matorova),24.237222,68,340,background,rural,3.427191
155,X_FR0009R,Revin,4.633333,49.9,390,background,rural,14.76596
156,X_FR0023R,Saint-Nazaire-le-Désert,5.278972,44.569444,605,background,rural,6.179576
157,X_HU0002R,K-puszta,19.583333,46.966667,125,background,rural,17.358067
158,X_CH0002R,Payerne,6.944722,46.813056,489,background,rural,9.748889
159,X_CH0005R,Rigi,8.463889,47.0675,1031,background,rural,5.774699
160,X_LV0010R,Rucava,21.173056,56.161944,18,background,rural,10.848464
161,X_PL0005R,Diabla Gora,22.066667,54.15,157,background,rural,12.486371
162,Y_CZ0CCHU,Churanov,13.614777,49.068427,1118,background,rural-regional,7.103898
163,Y_CZ0ESVR,Svratouch,16.034209,49.735068,735,background,rural-regional,11.822
164,Y_CZ0JKRI,Krizanov,16.098618,49.383584,525,background,rural-nearcity,15.089
165,Y_CZ0MBEL,Belotin,17.80425,49.587079,306,background,rural-nearcity,22.236
166,Y_CZ0TCEL,Celadna,18.348359,49.559234,400,background,rural-nearcity,17.006
167,Y_CZ0UDOK,Doksany,14.170205,50.458832,158,background,rural-nearcity,17.747
168,AL0203A,Korca,20.78018,40.62593,848,background,suburban,30.33897
169,AL0206A,Shkoder,19.52342,42.3139,13,background,urban,13.236321
170,AT10001,Eisenstadt Laschoberstraße,16.52806,47.84,160,background,suburban,14.568675
171,AT2KA21,Klagenfurt Völkermarkter Straße,14.31806,46.62556,445,background,urban,16.919576
172,AT2KA71,Klagenfurt Sterneckstraße,14.299144,46.626617,445,background,urban,14.608504
173,AT2WO15,Wolfsberg Hauptschule,14.843611,46.835,460,background,urban,19.190335
174,AT31413,Wiener Neudorf Hauptstraße,16.330278,48.083889,210,background,suburban,13.965723
175,AT32301,St. Pölten Eybnerstraße,15.634167,48.2125,270,background,urban,13.97845
176,AT32701,"Schwechat Sportplatz, Mühlgasse",16.474444,48.145,155,background,suburban,16.251845
177,AT4S125,"Bad Ischl, Rettenbachstraße",13.632222,47.716111,460,background,suburban,9.26586
178,AT4S156,"Braunau Zentrum, Kolpingplatz",13.039722,48.257778,350,background,urban,12.523505
179,AT4S404,Traun Tischlerstraße,14.238889,48.225278,274,background,suburban,15.235787
180,AT4S407,"Vöcklabruck, Untere Agergasse",13.6675,48.000833,420,background,suburban,12.29686
181,AT4S409,Steyr Münichholz,14.442778,48.049444,305,background,urban,11.781854
182,AT60107,Voitsberg Mühlgasse,15.152778,47.044722,390,background,urban,14.787564
183,AT60197,Leibnitz Lastenstraße,15.540556,46.778333,272,background,suburban,19.929107
184,AT9KEND,Kendlerstraße,16.30975,48.205,236,background,urban,14.100782
185,AT9STAD,Stadlau,16.458345,48.226361,159,background,urban,14.567044
186,BEGBB15,26BB15 - BRUGGE,3.234066,51.213463,5,background,urban,12.944598
187,BEGR701,26R701 - GENT,3.729298,51.058332,5,background,urban,14.640805
188,BEGR801,26R801 - BORGERHOUT,4.431821,51.209663,6,background,urban,14.81268
189,BEGR811,26R811 - SCHOTEN,4.491362,51.252103,8,background,suburban,13.718232
190,BELAB02,40AB02 - BERENDRECHT,4.32182,51.340727,10,background,suburban,13.09626
191,BELAL01,40AL01 - LINKEROEVER,4.385224,51.236194,10,background,suburban,13.189466
192,BELHB23,40HB23 - HOBOKEN,4.341005,51.170298,13,background,suburban,14.934121
193,BELMN01,40MN01 - MENEN,3.109642,50.793469,10,background,suburban,13.435091
194,BELRL01,40RL01 - ROESELARE,3.121156,50.953177,20,background,suburban,13.367502
195,BELSZ02,40SZ02 - STEENOKKERZ,4.512184,50.91302,15,background,suburban,13.040427
196,BETB011,41B011 - BERCHEM S.A,4.288336,50.858031,30,background,suburban,12.665909
197,BETH201,43H201 - LIEGE,5.547464,50.624992,160,background,suburban,10.52111
198,BETM204,43M204 - ANGLEUR,5.61115,50.611923,70,background,suburban,10.300577
199,BETMEU1,41MEU1 - MEUDON,4.392718,50.895101,50,background,suburban,15.115963
200,BETN035,42N035 - AARSCHOT,4.837618,50.977541,55,background,suburban,13.434084
201,BETN045,42N045 - HASSELT,5.368379,50.939712,41,background,suburban,13.466545
202,BETN052,44N052 - ZWEVEGEM,3.322494,50.814874,27,background,suburban,14.683366
203,BETN070,43N070 - MONS,3.939714,50.465192,30,background,suburban,12.551983
204,BETR001,41R001 - MOLENBEEK,4.33382,50.849665,15,background,urban,14.705634
205,BETR012,41R012 - UCCLE,4.358539,50.796632,100,background,suburban,14.419126
206,BETR020,42R020 - VILVOORDE,4.436721,50.941387,12,background,suburban,14.460037
207,BETR221,43R221 - LIEGE,5.627835,50.658444,65,background,urban,11.341185
208,BETR222,43R222 - SERAING,5.570223,50.613413,65,background,suburban,10.924992
209,BETR501,45R501 - CHARLEROI,4.452172,50.409311,115,background,urban,12.842754
210,BETR502,45R502 - LODELINSART,4.458681,50.428995,135,background,suburban,12.737044
211,BETR510,45R510 - CHATELINEAU,4.52113,50.416433,118,background,suburban,12.025819
212,BETR511,45R511 - MARCINELLE,4.4247,50.377592,157,background,suburban,11.799868
213,BETR701,44R701 - GENT,3.729298,51.058332,5,background,urban,14.327172
214,BETR710,44R710 - DESTELBERGE,3.775262,51.061278,6,background,suburban,14.449595
215,BETR801,42R801 - BORGERHOUT,4.431821,51.209663,6,background,urban,14.569196
216,BETR811,42R811 - SCHOTEN,4.491362,51.252103,8,background,suburban,14.176761
217,BETR834,42R834 - Boom,4.380104,51.092,0,background,suburban,13.806131
218,CY0005A,LIMASSOL RESIDENTIAL,33.017758,34.681633,22,background,urban,17.802967
219,CY0006A,NICOSIA RESIDENTIAL,33.331629,35.126975,208,background,urban,16.875843
220,CY0007A,LARNAKA RESIDENTIAL,33.615856,34.91363,17,background,urban,20.32358
221,CY0008A,PAFOS RESIDENTIAL,32.438614,34.779453,103,background,suburban,15.403012
222,CZ0ALIB,Praha 4-Libus,14.445933,50.007305,301,background,suburban,15.720217
223,CZ0ARIE,Praha 2-Riegrovy sady,14.442692,50.081482,256,background,urban,15.57881
224,CZ0ASTO,Praha 5-Stodulky,14.331413,50.046131,309,background,urban,15.313738
225,CZ0BBNY,Brno-Turany,16.696217,49.148972,241,background,suburban,17.68138
226,CZ0BZNO,Znojmo,16.060127,48.842957,225,background,suburban,16.817191
227,CZ0CCBD,Ceske Budejovice,14.465684,48.984386,383,background,urban,14.266245
228,CZ0EPAU,Pardubice Dukla,15.763549,50.024036,239,background,urban,18.682784
229,CZ0JJIH,Jihlava,15.610246,49.401596,502,background,urban,16.489249
230,CZ0KSOM,Sokolov,12.672818,50.172825,476,background,suburban,13.479739
231,CZ0MOLJ,Olomouc-Hejcin,17.238073,49.601463,224,background,urban,23.921083
232,CZ0PPLB,Plzen-Bory,13.37554,49.728394,346,background,urban,18.435565
233,CZ0PPLL,Plzen-Lochotin,13.368221,49.770126,360,background,urban,16.653832
234,CZ0SKLM,Kladno-stred mesta,14.101784,50.14386,303,background,urban,12.296574
235,CZ0SMBO,Mlada Boleslav,14.913859,50.428646,224,background,urban,17.270451
236,CZ0TOZR,Ostrava-Zabreh,18.247181,49.79604,235,background,urban,25.380925
237,CZ0TTRO,Trinec-Kosmos,18.677799,49.668114,320,background,urban,24.696366
238,CZ0UMOM,Most,13.645272,50.510365,221,background,urban,18.666911
239,CZ0UTPM,Teplice,13.85125,50.645279,257,background,urban,19.436881
240,CZ0UULK,Usti n.L.-Kockov,14.041195,50.683525,367,background,suburban,15.357874
241,CZ0ZZLN,Zlin,17.667175,49.232906,258,background,suburban,15.830083
242,DEBB007,Elsterwerda,13.526796,51.462734,89,background,suburban,13.736274
243,DEBB021,Potsdam-Zentrum,13.059945,52.401352,31,background,urban,13.695237
244,DEBB055,Brandenburg a.d. Havel,12.552303,52.420442,33,background,suburban,13.316793
245,DEBB063,Wittenberge,11.73846,52.99875,22,background,suburban,10.390088
246,DEBB064,Cottbus,14.33455,51.746344,75,background,urban,13.485642
247,DEBB067,Nauen,12.885194,52.608609,31,background,suburban,12.886066
248,DEBB083,Spremberg,14.3764,51.5645,99,background,suburban,13.224965
249,DEBB086,Blankenfelde-Mahlow,13.424304,52.349703,43,background,suburban,14.294797
250,DEBE010,B Wedding-Amrumer Str.,13.349326,52.543041,35,background,urban,15.250826
251,DEBE034,B Neukölln-Nansenstraße,13.430844,52.489451,35,background,urban,17.119724
252,DEBE068,"B Mitte, Brückenstraße",13.418833,52.513606,35,background,urban,16.061823
253,DEBW013,Stuttgart Bad Cannstatt,9.229745,48.8088,235,background,urban,12.379726
254,DEBW015,Heilbronn,9.224786,49.165508,157,background,suburban,13.91155
255,DEBW019,Ulm,9.979031,48.396836,481,background,urban,13.192736
256,DEBW023,Weil am Rhein,7.633271,47.588152,275,background,suburban,12.319939
257,DEBW033,Pforzheim,8.665536,48.889039,278,background,urban,11.823123
258,DEBW052,Konstanz,9.169289,47.664361,403,background,urban,12.423116
259,DEBW081,Karlsruhe-Nordwest,8.355628,49.028594,114,background,urban,11.994496
260,DEBW084,Freiburg,7.832122,48.001511,262,background,urban,10.578466
261,DEBW107,Tübingen,9.051178,48.507703,325,background,suburban,12.087066
262,DEBY002,Arzberg/Egerstraße,12.18865,50.058195,480,background,suburban,13.370539
263,DEBY005,Aschaffenburg/Bussardweg,9.117973,49.991518,134,background,suburban,12.226837
264,DEBY007,Augsburg/Bourges-Platz,10.88837,48.376576,477,background,urban,13.376674
265,DEBY009,Bamberg/Löwenbrücke,10.887686,49.89833,231,background,urban,13.076938
266,DEBY012,Burghausen/Marktler Straße,12.829314,48.177175,420,background,suburban,13.667626
267,DEBY031,Kempten (Allgäu)/Westendstraße,10.306561,47.72514,678,background,suburban,10.870899
268,DEBY039,München/Lothstraße,11.554669,48.154534,521,background,urban,12.392775
269,DEBY052,Neu-Ulm/Gabelsbergerstraße,10.008293,48.397079,470,background,urban,13.687462
270,DEBY058,Nürnberg/Muggenhof,11.0248,49.462229,300,background,urban,13.515509
271,DEBY067,Schwandorf/Wackersdorfer Straße,12.128139,49.321955,380,background,suburban,13.536733
272,DEBY075,Weiden i.d.OPf./Nikolaistraße,12.159361,49.67895,400,background,urban,13.427596
273,DEBY077,Würzburg/Kopfklinik,9.95642,49.804695,226,background,suburban,11.990753
274,DEBY088,Trostberg/Schwimmbadstraße,12.538174,48.021657,488,background,suburban,12.232226
275,DEBY089,München/Johanneskirchen,11.648036,48.173194,513,background,suburban,11.973409
276,DEBY099,Augsburg/LfU,10.903051,48.326013,495,background,suburban,12.609537
277,DEBY118,Passau/Stelzhamerstraße,13.422039,48.573629,300,background,urban,15.24653
278,DEBY187,Oettingen/Goethestraße,10.59772,48.95218,417,background,suburban,12.751086
279,DEHB002,Bremen-Ost,8.916966,53.060045,7,background,urban,11.951139
280,DEHB005,Bremerhaven,8.569405,53.562455,3,background,urban,10.282646
281,DEHE008,Frankfurt-Ost,8.746343,50.125332,100,background,urban,13.002718
282,DEHE013,Kassel-Mitte,9.483397,51.314248,181,background,urban,11.948696
283,DEHE022,Wiesbaden-Süd,8.244949,50.050343,121,background,urban,12.040123
284,DEHH008,Hamburg Sternschanze,9.967882,53.56414,15,background,urban,12.951982
285,DEHH059,Hamburg Wilhelmsburg,9.990569,53.50793,3,background,urban,13.776988
286,DEMV019,Güstrow,12.175512,53.78175,17,background,urban,11.565453
287,DEMV021,Rostock-Warnemünde,12.080003,54.17133,2,background,urban,10.882653
288,DENI038,Osnabrück,8.05286,52.25534,95,background,urban,11.325708
289,DENI041,Weserbergland,9.06255,52.17017,54,background,suburban,10.626572
290,DENI042,Göttingen,9.94976,51.55107,170,background,suburban,8.884077
291,DENI043,Emsland,7.31747,52.49855,30,background,suburban,12.163193
292,DENI054,Hannover,9.70612,52.36292,85,background,urban,11.397428
293,DENW002,Datteln-Hagem,7.331405,51.641383,80,background,suburban,14.545125
294,DENW008,Dortmund-Eving,7.457463,51.536911,75,background,urban,14.033249
295,DENW010,Unna-Königsborn,7.693835,51.547495,72,background,suburban,13.009496
296,DENW022,Gelsenkirchen-Bismarck,7.101786,51.533646,40,background,suburban,14.49445
297,DENW024,Essen-Vogelheim,6.981045,51.496527,47,background,urban,15.073384
298,DENW030,Wesel-Feldmark,6.629576,51.672809,25,background,suburban,13.879151
299,DENW071,Düsseldorf-Lörick,6.732383,51.249211,32,background,urban,12.705393
300,DENW114,Wuppertal-Langerfeld,7.231895,51.277647,186,background,urban,12.574983
301,DENW179,Schwerte,7.582295,51.448762,157,background,urban,12.789846
302,DENW247,Essen-Schuir (LANUV),6.965643,51.406968,153,background,suburban,13.120164
303,DERP009,Mainz-Zitadelle,8.273965,49.994975,110,background,urban,13.271031
304,DERP019,Kaiserslautern-Rathausplatz,7.7673,49.446,232,background,urban,12.890498
305,DERP022,Bad Kreuznach-Bosenheimer Straße,7.866208,49.842136,108,background,urban,12.711364
306,DERP053,Speyer-Nord,8.423005,49.351143,103,background,suburban,14.384997
307,DESH015,Itzehoe,9.532635,53.924712,40,background,suburban,12.364177
308,DESH023,Lübeck-St. Jürgen,10.695936,53.835492,12,background,urban,11.214417
309,DESL012,Saarbrücken-City,6.987601,49.233464,192,background,urban,12.244933
310,DESN059,Leipzig-West,12.297411,51.317905,115,background,urban,12.017583
311,DESN092,Dresden-Winckelmannstr.,13.730205,51.036105,112,background,urban,13.010192
312,DEST002,Burg,11.864763,52.268354,47,background,suburban,12.134096
313,DEST050,Halle/Nord,11.979056,51.496185,116,background,urban,12.893257
314,DEST077,Magdeburg/West,11.611464,52.127899,58,background,urban,12.934388
315,DETH020,Erfurt Krämpferstr.,11.037924,50.979455,195,background,urban,11.104895
316,DETH036,Greiz Mollbergstr.,12.205199,50.655861,265,background,urban,11.983944
317,DETH060,Zella-Mehlis,10.668641,50.653245,490,background,urban,10.383987
318,DK0045A,Copenhagen/1259,12.561412,55.700281,25,background,urban,11.635107
319,DK0056A,Ĺrhus/6160,10.193633,56.159783,21,background,urban,9.856579
320,EE0018A,Őismäe,24.649458,59.414169,6,background,urban,6.27563
321,EE0021A,Tartu,26.734722,58.370556,41,background,urban,8.941618
322,EE0022A,Narva,28.179167,59.376161,25,background,urban,5.943251
323,ES0567A,Barcelona (Zona Universitŕria),2.119574,41.384906,24,background,urban,15.060833
324,ES0691A,Barcelona (el Poblenou),2.204523,41.403882,3,background,urban,17.963018
325,ES1193A,CASA DE CAMPO,-3.749167,40.42,645,background,suburban,9.970065
326,ES1440A,ESTACION 1 (ESTE),-8.736944,42.210278,12,background,urban,14.872995
327,ES1443A,BURGOS 4,-3.63611,42.33611,929,background,urban,10.019336
328,ES1472A,ITURRAMA,-1.65139,42.80722,449,background,urban,11.227654
329,ES1615A,CÁCERES,-6.36028,39.47278,389,background,urban,6.720053
330,ES1619A,VALČNCIA-VIVERS,-0.368333,39.478056,11,background,urban,19.688172
331,ES1641A,RENOVALES,-0.89361,41.63528,220,background,urban,12.155689
332,ES1691A,VIVER,-0.603333,39.930556,616,background,suburban,8.071548
